location,Latitude,Longitude
1,-27.45846,153.022459
2,-37.823255,144.966553
3,-33.907256,151.034287
4,-38.002282,145.083949
6,-34.927794,138.623535
7,-32.036897,115.753697
8,-37.8383,144.965026
9,-38.17622,146.30111
10,-32.180444,116.070444
11,-33.830446,151.219612
12,-33.880951,151.244616
13,-37.799617,145.147859
14,-34.961787,138.558048
15,-37.707129,145.08791
16,-31.999005,115.752058
17,-34.968149,138.590936
18,-36.62623,145.966223
19,-32.160519,115.85626
20,-37.794551,145.083967
21,-34.481342,138.860709
22,-27.46758,153.027892
23,-34.002753,151.127879
24,-31.896468,115.912917
25,-31.944846,115.840662
26,-27.458544,153.032397
27,-33.812375,151.17351
28,-21.171338,149.152784
29,-37.939117,145.074242
30,-34.884826,150.603663
31,-27.711333,153.202924
32,-27.484811,153.028331
33,-33.930105,151.194113
34,-33.908072,151.181391
35,-37.80215,145.022632
36,-34.035945,151.107215
38,-37.835945,145.062068
39,-31.923255,115.859153
40,-37.993149,145.199728
41,-37.902986,145.215412
42,-33.836292,151.210964
43,-37.814651,144.938302
44,-33.754474,151.152096
45,-38.086255,145.169397
46,-27.633011,152.957213
47,-34.935187,138.627728
48,-33.748517,151.138314
49,-33.949593,151.096319
50,-37.761078,145.145726
51,-37.847779,144.994025
52,-33.72689,150.23471
53,-32.041294,115.754563
54,-37.875253,145.212357
55,-37.778656,144.974246
58,-33.967517,137.723049
59,-41.083119,145.913021
60,-27.686969,153.18141
61,-37.365593,144.528378
62,-33.889418,151.25594
63,-33.870583,151.229096
64,-33.895971,151.24978
66,-27.719056,153.194519
68,-31.910218,115.813864
69,-28.132867,153.346523
70,-35.940619,145.600526
71,-33.744729,150.948966
72,-37.804401,145.270647
73,-36.785756,144.246435
74,-27.299586,152.96152
75,-28.010324,153.405014
76,-33.438193,151.376246
77,-34.950391,138.607459
78,-32.967511,151.696296
79,-31.943618,115.834629
80,-38.050653,145.366364
81,-31.991233,115.814449
82,-37.832045,145.031436
83,-33.723495,151.018614
84,-42.959401,147.331698
85,-27.556843,153.273842
86,-31.921654,115.884517
87,-37.988763,145.126986
88,-33.825563,150.991113
89,-27.997388,153.365579
90,-31.988505,115.853916
91,-37.772015,144.918774
92,-37.99007,145.137614
93,-33.83065,151.027678
94,-33.979383,151.121402
95,-34.945725,138.624971
96,-34.902305,138.609157
97,-27.430297,153.039783
98,-36.388766,146.348724
99,-31.648451,116.018004
100,-35.317161,149.11617
101,-38.095604,145.489458
102,-37.961611,145.145871
103,-28.082999,153.376829
104,-16.962177,145.746855
105,-32.940098,151.76382
106,-38.37814,144.888977
107,-27.998358,152.988009
108,-37.796426,145.119415
109,-37.936507,145.183608
110,-31.981784,115.77332
111,-37.81121,145.227365
112,-31.944417,115.877761
114,-37.804032,144.904814
115,-33.797199,151.014166
116,-38.037668,144.416365
117,-37.694395,145.007577
118,-31.904155,152.52497
119,-37.891841,145.144709
120,-38.360401,143.56519
121,-33.837704,151.23381
122,-31.965672,115.933469
123,-27.471611,152.998505
124,-32.568586,151.179791
125,-38.149029,145.116521
126,-28.115967,153.422706
127,-33.829721,151.088571
128,-28.001964,153.2988
129,-27.558925,153.083633
130,-33.86401,151.2014
131,-37.894122,145.020609
132,-33.664529,151.313379
133,-27.468968,153.023499
134,-38.385998,142.505954
135,-37.715784,144.835802
136,-37.911591,145.042561
137,-33.821891,151.205424
138,-33.778306,151.170327
139,-37.84009,145.004775
140,-37.739922,144.907221
141,-27.616633,153.138067
142,-35.556771,138.624776
143,-38.222126,146.521101
144,-33.792849,151.190296
145,-37.811472,144.972401
146,-37.826093,144.946697
147,-37.17093,143.70369
148,-37.854299,145.051126
149,-37.933789,145.041468
150,-38.001033,145.190653
151,-27.570055,153.036089
152,-27.534049,152.903326
153,-32.013229,115.861928
154,-33.902684,150.94511
155,-31.936425,115.804148
156,-37.838969,144.938442
157,-38.242039,143.162037
158,-28.862054,153.513502
159,-33.853542,151.177192
160,-33.722416,151.171405
161,-37.795295,144.995181
162,-33.890689,151.100999
163,-26.619975,152.956584
164,-19.296627,146.769393
165,-33.962553,151.091947
166,-30.29767,153.112611
167,-38.296679,144.983544
168,-31.928519,116.022298
169,-31.833594,115.80764
170,-37.797352,145.055115
171,-33.644808,151.042998
172,-37.821647,144.98934
173,-33.707804,151.099794
174,-33.847295,151.040366
175,-33.873533,151.237314
176,-37.750475,145.080563
177,-33.533837,151.304435
178,-34.888978,138.665394
179,-32.918885,151.733546
181,-37.81612,144.982421
182,-34.936958,138.570775
183,-31.86531,115.895838
184,-27.587469,153.098022
185,-32.108922,115.86252
186,-35.023873,117.883543
187,-34.429653,150.351823
189,-31.93656,115.880936
190,-33.01968,151.582544
191,-37.940549,145.023272
192,-37.914227,145.167574
193,-26.743047,153.128746
194,-33.790845,151.270002
195,-34.945405,138.588208
197,-37.83054,145.14531
198,-33.766478,150.683659
199,-33.850186,150.966754
200,-33.684886,151.303989
201,-33.857249,150.911168
202,-33.908793,151.242049
203,-32.753592,151.587412
204,-34.471191,150.834488
205,-34.068723,151.009802
206,-16.970313,145.734206
207,-33.744671,150.610659
208,-37.801649,144.9974
209,-37.891446,145.045423
210,-37.951368,145.01302
211,-37.601271,143.868424
212,-31.1055,150.950213
213,-33.890489,151.079907
215,-37.840702,145.032101
216,-33.858621,151.205727
217,-26.42232,153.04937
218,-37.833382,145.160456
219,-31.915985,115.974477
220,-16.92679,145.732275
221,-37.652628,145.085955
222,-37.885142,145.099177
223,-35.275738,149.129793
224,-37.809162,144.986982
226,-33.791271,151.025309
227,-32.519733,115.730906
228,-33.886735,151.217946
229,-28.659639,153.61755
230,-26.667097,153.078001
231,-34.946254,138.625052
232,-32.12134,115.84877
233,-37.911191,145.099132
234,-33.425067,151.366191
235,-37.842272,145.171381
236,-31.448373,152.878969
237,-41.438964,147.137458
238,-34.975915,138.526217
239,-31.969162,115.764822
240,-27.502038,152.99079
242,-37.665516,145.072088
243,-33.739522,151.06714
244,-33.795112,151.141566
245,-31.956317,115.813998
246,-31.922035,115.826039
248,-33.87981,151.238159
